Name,Median Household Income
"Rockdale County, Georgia",50761
"Spalding County, Georgia",43991
"Stephens County, Georgia",41978
"Sumter County, Georgia",30579
"Tattnall County, Georgia",40034
"Thomas County, Georgia",41340
"Tift County, Georgia",41295
"Toombs County, Georgia",37637
"Troup County, Georgia",39067
"Union County, Georgia",45076
"Upson County, Georgia",39055
"Walker County, Georgia",44358
"Walton County, Georgia",57278
"Ware County, Georgia",36303
"Washington County, Georgia",38549
"Wayne County, Georgia",43846
"White County, Georgia",42780
"Whitfield County, Georgia",45894
"Worth County, Georgia",41468
"Hawaii County, Hawaii",60033
"Honolulu County, Hawaii",77273
"Kauai County, Hawaii",77140
"Maui County, Hawaii",70497
"Ada County, Idaho",57399
"Bannock County, Idaho",41530
"Bingham County, Idaho",51031
"Blaine County, Idaho",48148
"Bonner County, Idaho",40434
"Bonneville County, Idaho",53355
"Canyon County, Idaho",42786
"Cassia County, Idaho",45778
"Elmore County, Idaho",44092
"Jefferson County, Idaho",52089
"Jerome County, Idaho",46139
"Kootenai County, Idaho",47860
"Latah County, Idaho",43886
"Madison County, Idaho",34070
"Minidoka County, Idaho",45127
"Nez Perce County, Idaho",52519
"Payette County, Idaho",36604
"Twin Falls County, Idaho",45499
"Adams County, Illinois",46528
"Boone County, Illinois",57233
"Bureau County, Illinois",50495
"Champaign County, Illinois",50252
"Christian County, Illinois",49049
"Clinton County, Illinois",64769
"Coles County, Illinois",41136
"Cook County, Illinois",56851
"DeKalb County, Illinois",55471
"DuPage County, Illinois",81559
"Effingham County, Illinois",50000
"Fayette County, Illinois",36865
"Franklin County, Illinois",47465
"Fulton County, Illinois",42469
"Grundy County, Illinois",69471
"Henry County, Illinois",60045
"Iroquois County, Illinois",49541
"Jackson County, Illinois",37002
"Jefferson County, Illinois",47716
"Jersey County, Illinois",52890
"Jo Daviess County, Illinois",53487
"Kane County, Illinois",70359
"Kankakee County, Illinois",53850
"Kendall County, Illinois",85979
"Knox County, Illinois",43020
"Lake County, Illinois",82113
"LaSalle County, Illinois",51936
"Lee County, Illinois",51317
"Livingston County, Illinois",55814
"Logan County, Illinois",65129
"McDonough County, Illinois",39698
"McHenry County, Illinois",80125
"McLean County, Illinois",65304
"Macon County, Illinois",48040
"Macoupin County, Illinois",51446
"Madison County, Illinois",52664
"Marion County, Illinois",42220
"Monroe County, Illinois",75808
"Montgomery County, Illinois",45231
"Morgan County, Illinois",43355
"Ogle County, Illinois",55211
"Peoria County, Illinois",53837
"Perry County, Illinois",50764
"Randolph County, Illinois",50697
"Rock Island County, Illinois",50542
"St. Clair County, Illinois",50347
"Saline County, Illinois",40712
"Sangamon County, Illinois",57576
"Shelby County, Illinois",47878
"Stephenson County, Illinois",45751
"Tazewell County, Illinois",57020
"Vermilion County, Illinois",45098
"Whiteside County, Illinois",43314
"Will County, Illinois",75992
"Williamson County, Illinois",48736
"Winnebago County, Illinois",49578
"Woodford County, Illinois",65971
"Adams County, Indiana",47775
"Allen County, Indiana",49754
"Bartholomew County, Indiana",54447
"Boone County, Indiana",72844
"Cass County, Indiana",45533
"Clark County, Indiana",51828
"Clay County, Indiana",51774
"Clinton County, Indiana",51797
"Daviess County, Indiana",47227
