Name,Life Expectancy
"Abbeville County, South Carolina",77.64999999999999
"Acadia Parish, Louisiana",74.44545454545454
"Accomack County, Virginia",76.88749999999999
"Ada County, Idaho",79.91525423728814
"Adair County, Iowa",78.13333333333333
"Adair County, Kentucky",76.0142857142857
"Adair County, Missouri",77.72
"Adair County, Oklahoma",75.34
"Adams County, Colorado",77.97752808988766
"Adams County, Idaho",79.0
"Adams County, Illinois",77.45555555555556
"Adams County, Indiana",80.10000000000001
"Adams County, Iowa",78.1
"Adams County, Mississippi",73.14444444444445
"Adams County, Nebraska",79.21111111111111
"Adams County, North Dakota",79.3
"Adams County, Ohio",74.02000000000001
"Adams County, Pennsylvania",79.99545454545456
"Adams County, Washington",78.66
"Adams County, Wisconsin",77.17999999999999
"Addison County, Vermont",82.03999999999999
"Aiken County, South Carolina",77.07999999999998
"Aitkin County, Minnesota",79.48333333333333
"Alachua County, Florida",77.9452380952381
"Alamance County, North Carolina",77.94
"Alameda County, California",80.84585798816569
"Alamosa County, Colorado",78.15
"Albany County, New York",79.4820895522388
"Albany County, Wyoming",80.9125
"Albemarle County, Virginia",81.025
"Alcona County, Michigan",76.475
"Alcorn County, Mississippi",73.83333333333333
"Aleutians East Borough, Alaska",86.9
"Aleutians West Census Area, Alaska",77.75
"Alexander County, Illinois",74.475
"Alexander County, North Carolina",77.17142857142858
"Alexandria city, Virginia",81.35454545454544
"Alfalfa County, Oklahoma",78.76666666666667
"Alger County, Michigan",81.19999999999999
"Allamakee County, Iowa",79.88000000000001
"Allegan County, Michigan",79.5782608695652
"Allegany County, Maryland",76.32173913043479
"Allegany County, New York",81.26666666666667
"Alleghany County, North Carolina",79.03333333333335
"Alleghany County, Virginia",76.78333333333333
"Allegheny County, Pennsylvania",77.23613445378145
"Allen County, Indiana",77.3279569892473
"Allen County, Kansas",75.96
"Allen County, Kentucky",74.53333333333335
"Allen County, Ohio",76.88333333333335
"Allen Parish, Louisiana",76.2
"Allendale County, South Carolina",72.5
"Alpena County, Michigan",77.25555555555556
"Alpine County, California",80.4
"Amador County, California",79.19999999999999
"Amelia County, Virginia",76.25
"Amherst County, Virginia",76.6625
"Amite County, Mississippi",77.89999999999999
"Anchorage Municipality, Alaska",78.03469387755102
"Anderson County, Kansas",79.75
"Anderson County, Kentucky",75.86000000000001
"Anderson County, South Carolina",76.52051282051282
"Anderson County, Tennessee",76.4875
"Anderson County, Texas",77.45555555555556
"Andrew County, Missouri",79.675
"Andrews County, Texas",75.975
"Androscoggin County, Maine",76.93333333333334
"Angelina County, Texas",76.0
"Anne Arundel County, Maryland",78.86597938144328
"Anoka County, Minnesota",80.14025974025972
"Anson County, North Carolina",75.71666666666665
"Antelope County, Nebraska",82.23333333333333
"Antrim County, Michigan",80.07142857142857
"Apache County, Arizona",75.74374999999999
"Appanoose County, Iowa",76.86000000000001
"Appling County, Georgia",74.05
"Appomattox County, Virginia",77.2
"Aransas County, Texas",76.32
"Arapahoe County, Colorado",79.71190476190473
"Archer County, Texas",78.36666666666666
"Archuleta County, Colorado",82.05
"Arenac County, Michigan",77.0
"Arkansas County, Arkansas",74.72500000000001
"Arlington County, Virginia",82.04651162790698
"Armstrong County, Pennsylvania",77.78947368421053
"Armstrong County, Texas",86.2
"Aroostook County, Maine",77.765
"Arthur County, Nebraska",
"Ascension Parish, Louisiana",78.4
"Ashe County, North Carolina",77.48333333333333
"Ashland County, Ohio",77.91818181818181
"Ashland County, Wisconsin",77.06666666666666
"Ashley County, Arkansas",76.23333333333333
"Ashtabula County, Ohio",75.79599999999999
"Asotin County, Washington",77.56
"Assumption Parish, Louisiana",76.75
"Atascosa County, Texas",77.96249999999999
"Atchison County, Kansas",76.95
"Atchison County, Missouri",76.94999999999999
"Athens County, Ohio",76.85833333333333
"Atkinson County, Georgia",74.56666666666666
"Atlantic County, New Jersey",77.55
"Atoka County, Oklahoma",77.05
"Attala County, Mississippi",76.88333333333333
"Audrain County, Missouri",77.12857142857142
"Audubon County, Iowa",77.50000000000001
"Auglaize County, Ohio",78.44545454545455
"Augusta County, Virginia",78.30769230769232
"Aurora County, South Dakota",83.5
"Austin County, Texas",78.86666666666666
"Autauga County, Alabama",75.32000000000001
"Avery County, North Carolina",79.16000000000001
"Avoyelles Parish, Louisiana",74.6875
"Baca County, Colorado",80.0
"Bacon County, Georgia",72.83333333333333
"Bailey County, Texas",80.5
"Baker County, Florida",75.95
"Baker County, Georgia",77.1
"Baker County, Oregon",77.60000000000001
"Baldwin County, Alabama",77.48275862068964
"Baldwin County, Georgia",75.04444444444445
"Ballard County, Kentucky",75.89999999999999
"Baltimore County, Maryland",78.07722772277229
"Baltimore city, Maryland",73.03944444444444
"Bamberg County, South Carolina",75.60000000000001
"Bandera County, Texas",80.34
"Banks County, Georgia",76.225
"Banner County, Nebraska",
"Bannock County, Idaho",76.92777777777776
"Baraga County, Michigan",76.2
"Barber County, Kansas",76.35
"Barbour County, Alabama",73.97142857142856
"Barbour County, West Virginia",73.94999999999999
"Barnes County, North Dakota",78.95
"Barnstable County, Massachusetts",80.42745098039218
"Barnwell County, South Carolina",75.74000000000001
"Barren County, Kentucky",75.76
"Barron County, Wisconsin",79.02
"Barrow County, Georgia",75.16470588235292
"Barry County, Michigan",79.36363636363636
"Barry County, Missouri",76.77142857142857
"Bartholomew County, Indiana",78.27142857142856
"Barton County, Kansas",78.4125
"Barton County, Missouri",77.60000000000001
"Bartow County, Georgia",76.03571428571429
"Bastrop County, Texas",77.78
"Bates County, Missouri",78.9
"Bath County, Kentucky",74.46666666666668
"Bath County, Virginia",77.4
"Baxter County, Arkansas",75.2625
"Bay County, Florida",75.825641025641
"Bay County, Michigan",77.02307692307691
"Bayfield County, Wisconsin",80.9
"Baylor County, Texas",74.4
"Beadle County, South Dakota",78.76666666666667
"Bear Lake County, Idaho",81.0
"Beaufort County, North Carolina",75.49090909090908
"Beaufort County, South Carolina",80.01875000000001
"Beauregard Parish, Louisiana",75.0
"Beaver County, Oklahoma",78.3
"Beaver County, Pennsylvania",77.20399999999998
"Beaver County, Utah",80.19999999999999
"Beaverhead County, Montana",79.8
"Becker County, Minnesota",80.35
"Beckham County, Oklahoma",74.9
"Bedford County, Pennsylvania",78.58181818181818
"Bedford County, Tennessee",76.33333333333333
"Bedford County, Virginia",77.66874999999999
"Bee County, Texas",76.11666666666667
"Belknap County, New Hampshire",80.21428571428574
"Bell County, Kentucky",74.21111111111111
"Bell County, Texas",76.74615384615385
"Belmont County, Ohio",75.64999999999999
"Beltrami County, Minnesota",78.71
"Ben Hill County, Georgia",73.28
"Benewah County, Idaho",75.6
"Bennett County, South Dakota",76.25
"Bennington County, Vermont",82.13333333333333
"Benson County, North Dakota",73.35
"Bent County, Colorado",78.0
"Benton County, Arkansas",78.14042553191489
"Benton County, Indiana",77.56666666666666
"Benton County, Iowa",80.77142857142857
"Benton County, Minnesota",79.71111111111111
"Benton County, Mississippi",73.0
"Benton County, Missouri",75.61666666666666
"Benton County, Oregon",81.91538461538462
"Benton County, Tennessee",72.78
"Benton County, Washington",79.61875
"Benzie County, Michigan",78.7
"Bergen County, New Jersey",82.34943181818177
"Berkeley County, South Carolina",76.95526315789475
"Berkeley County, West Virginia",76.29285714285713
"Berks County, Pennsylvania",78.46477272727273
"Berkshire County, Massachusetts",80.25263157894736
"Bernalillo County, New Mexico",78.53669064748205
"Berrien County, Georgia",74.78
"Berrien County, Michigan",76.83191489361701
"Bertie County, North Carolina",77.0
"Bethel Census Area, Alaska",78.73333333333333
"Bexar County, Texas",77.78031250000004
"Bibb County, Alabama",73.55
"Bibb County, Georgia",73.45641025641028
"Bienville Parish, Louisiana",74.04
"Big Horn County, Montana",77.52000000000001
"Big Horn County, Wyoming",81.13333333333333
"Big Stone County, Minnesota",78.23333333333333
"Billings County, North Dakota",79.6
"Bingham County, Idaho",78.77499999999999
"Black Hawk County, Iowa",77.95294117647059
"Blackford County, Indiana",75.625
"Bladen County, North Carolina",76.85
"Blaine County, Idaho",82.15
"Blaine County, Montana",77.7
"Blaine County, Nebraska",
"Blaine County, Oklahoma",74.92
"Blair County, Pennsylvania",77.53823529411764
"Blanco County, Texas",78.15
"Bland County, Virginia",74.85
"Bleckley County, Georgia",75.53333333333335
"Bledsoe County, Tennessee",76.56666666666668
"Blount County, Alabama",76.07777777777777
"Blount County, Tennessee",76.51904761904761
"Blue Earth County, Minnesota",80.37333333333332
"Boise County, Idaho",81.6
"Bolivar County, Mississippi",74.7375
"Bollinger County, Missouri",73.9
"Bon Homme County, South Dakota",83.75
"Bond County, Illinois",77.675
"Bonner County, Idaho",78.9
"Bonneville County, Idaho",78.79523809523809
"Boone County, Arkansas",76.48571428571428
"Boone County, Illinois",78.34285714285716
"Boone County, Indiana",79.08000000000001
"Boone County, Iowa",80.45714285714287
"Boone County, Kentucky",78.43333333333332
"Boone County, Missouri",79.48260869565217
"Boone County, Nebraska",80.05000000000001
"Boone County, West Virginia",74.45
"Borden County, Texas",
"Bosque County, Texas",77.11666666666667
"Bossier Parish, Louisiana",76.18571428571428
"Botetourt County, Virginia",78.025
"Bottineau County, North Dakota",81.33333333333333
"Boulder County, Colorado",81.55576923076924
"Boundary County, Idaho",80.65
"Bourbon County, Kansas",75.78
"Bourbon County, Kentucky",76.97999999999999
"Bowie County, Texas",75.1222222222222
"Bowman County, North Dakota",79.0
"Box Butte County, Nebraska",78.2
"Box Elder County, Utah",79.22727272727273
"Boyd County, Kentucky",74.49999999999999
"Boyd County, Nebraska",79.2
"Boyle County, Kentucky",76.5142857142857
"Bracken County, Kentucky",74.23333333333333
"Bradford County, Florida",76.2
"Bradford County, Pennsylvania",79.19285714285715
"Bradley County, Arkansas",73.32000000000001
"Bradley County, Tennessee",75.19473684210527
"Branch County, Michigan",77.19166666666666
"Brantley County, Georgia",75.06666666666666
"Braxton County, West Virginia",76.93333333333334
"Brazoria County, Texas",77.65714285714284
"Brazos County, Texas",78.51999999999997
"Breathitt County, Kentucky",70.15714285714286
"Breckinridge County, Kentucky",74.86666666666666
"Bremer County, Iowa",81.0375
"Brevard County, Florida",77.31481481481484
"Brewster County, Texas",81.76666666666667
"Briscoe County, Texas",84.4
"Bristol Bay Borough, Alaska",79.9
"Bristol County, Massachusetts",78.4885245901639
"Bristol County, Rhode Island",80.69999999999999
"Bristol city, Virginia",73.775
"Broadwater County, Montana",72.3
"Bronx County, New York",78.23841269841266
"Brooke County, West Virginia",75.21666666666667
"Brookings County, South Dakota",80.01666666666667
"Brooks County, Georgia",74.64000000000001
"Brooks County, Texas",76.45
"Broome County, New York",79.32244897959184
"Broomfield County, Colorado",80.91538461538461
"Broward County, Florida",79.3005970149254
"Brown County, Illinois",75.65
"Brown County, Indiana",77.85
"Brown County, Kansas",76.96666666666667
"Brown County, Minnesota",81.3125
"Brown County, Nebraska",81.6
"Brown County, Ohio",75.07777777777778
"Brown County, South Dakota",79.7375
"Brown County, Texas",74.87500000000001
"Brown County, Wisconsin",79.14375000000003
"Brule County, South Dakota",78.9
"Brunswick County, North Carolina",77.12083333333334
"Brunswick County, Virginia",75.95
"Bryan County, Georgia",76.14000000000001
"Bryan County, Oklahoma",76.91818181818181
"Buchanan County, Iowa",79.06666666666668
"Buchanan County, Missouri",75.32400000000001
"Buchanan County, Virginia",74.18571428571428
"Buckingham County, Virginia",77.825
"Bucks County, Pennsylvania",79.60857142857147
"Buena Vista County, Iowa",80.11666666666666
"Buena Vista city, Virginia",73.7
"Buffalo County, Nebraska",80.81818181818181
"Buffalo County, South Dakota",74.8
"Buffalo County, Wisconsin",80.77499999999999
"Bullitt County, Kentucky",77.06428571428572
"Bulloch County, Georgia",75.61111111111113
"Bullock County, Alabama",77.60000000000001
"Buncombe County, North Carolina",77.93207547169813
"Bureau County, Illinois",80.57777777777778
"Burke County, Georgia",73.83999999999999
"Burke County, North Carolina",76.74705882352941
"Burke County, North Dakota",78.0
"Burleigh County, North Dakota",81.01111111111112
"Burleson County, Texas",78.25999999999999
"Burlington County, New Jersey",78.78921568627453
"Burnet County, Texas",78.58749999999999
"Burnett County, Wisconsin",78.36666666666667
"Burt County, Nebraska",77.33333333333333
"Butler County, Alabama",73.3875
"Butler County, Iowa",79.54
"Butler County, Kansas",77.57692307692307
"Butler County, Kentucky",75.35999999999999
"Butler County, Missouri",72.56
"Butler County, Nebraska",79.5
"Butler County, Ohio",76.1902777777778
"Butler County, Pennsylvania",78.86744186046512
"Butte County, California",77.70204081632654
"Butte County, Idaho",78.3
"Butte County, South Dakota",81.9
"Butts County, Georgia",75.8
"Cabarrus County, North Carolina",77.30270270270273
"Cabell County, West Virginia",73.28518518518518
"Cache County, Utah",80.65652173913045
"Caddo County, Oklahoma",79.71249999999999
"Caddo Parish, Louisiana",74.31639344262295
"Calaveras County, California",80.83333333333333
"Calcasieu Parish, Louisiana",74.49999999999999
"Caldwell County, Kentucky",76.46666666666667
"Caldwell County, Missouri",75.6
"Caldwell County, North Carolina",75.85625
"Caldwell County, Texas",77.89999999999999
"Caldwell Parish, Louisiana",74.33333333333333
"Caledonia County, Vermont",81.58
"Calhoun County, Alabama",73.13600000000001
"Calhoun County, Arkansas",74.6
"Calhoun County, Florida",77.66666666666667
"Calhoun County, Georgia",77.1
"Calhoun County, Illinois",82.15
"Calhoun County, Iowa",78.725
"Calhoun County, Michigan",76.26756756756755
"Calhoun County, Mississippi",75.97999999999999
"Calhoun County, South Carolina",75.93333333333334
"Calhoun County, Texas",78.4
"Calhoun County, West Virginia",74.4
