Name,Median Household Income,Life Expectancy
"Rockdale County, Georgia",50761,77.67333333333333
"Spalding County, Georgia",43991,73.55833333333334
"Stephens County, Georgia",41978,73.74
"Sumter County, Georgia",30579,75.9
"Tattnall County, Georgia",40034,74.50000000000001
"Thomas County, Georgia",41340,75.32727272727273
"Tift County, Georgia",41295,75.92222222222222
"Toombs County, Georgia",37637,74.36666666666666
"Troup County, Georgia",39067,75.91428571428571
"Union County, Georgia",45076,77.675
"Upson County, Georgia",39055,73.07142857142857
"Walker County, Georgia",44358,75.41538461538461
"Walton County, Georgia",57278,76.55333333333334
"Ware County, Georgia",36303,72.66666666666667
"Washington County, Georgia",38549,77.34
"Wayne County, Georgia",43846,74.58333333333334
"White County, Georgia",42780,78.28
"Whitfield County, Georgia",45894,77.59444444444443
"Worth County, Georgia",41468,74.3
"Hawaii County, Hawaii",60033,80.73030303030302
"Honolulu County, Hawaii",77273,81.29411764705884
"Kauai County, Hawaii",77140,84.46666666666667
"Maui County, Hawaii",70497,80.88181818181818
"Ada County, Idaho",57399,79.91525423728814
"Bannock County, Idaho",41530,76.92777777777776
"Bingham County, Idaho",51031,78.77499999999999
"Blaine County, Idaho",48148,82.15
"Bonner County, Idaho",40434,78.9
"Bonneville County, Idaho",53355,78.79523809523809
"Canyon County, Idaho",42786,78.08620689655174
"Cassia County, Idaho",45778,78.66666666666667
"Elmore County, Idaho",44092,77.875
"Jefferson County, Idaho",52089,80.725
"Jerome County, Idaho",46139,78.46
"Kootenai County, Idaho",47860,79.4
"Latah County, Idaho",43886,80.3
"Madison County, Idaho",34070,79.16666666666666
"Minidoka County, Idaho",45127,79.32
"Nez Perce County, Idaho",52519,78.23333333333333
"Payette County, Idaho",36604,79.0
"Twin Falls County, Idaho",45499,77.35384615384615
"Adams County, Illinois",46528,77.45555555555556
"Boone County, Illinois",57233,78.34285714285716
"Bureau County, Illinois",50495,80.57777777777778
"Champaign County, Illinois",50252,80.00000000000003
"Christian County, Illinois",49049,76.43
"Clinton County, Illinois",64769,79.83749999999999
"Coles County, Illinois",41136,77.21000000000001
"Cook County, Illinois",56851,77.82824999999995
"DeKalb County, Illinois",55471,80.22631578947369
"DuPage County, Illinois",81559,81.28994974874374
"Effingham County, Illinois",50000,77.6375
"Fayette County, Illinois",36865,79.15
"Franklin County, Illinois",47465,75.3
"Fulton County, Illinois",42469,77.75454545454546
"Grundy County, Illinois",69471,78.39999999999999
"Henry County, Illinois",60045,78.75384615384615
