Name,Median Household Income,Life Expectancy,Classification
"Allegan County, Michigan",55250,79.5782608695652,Rural
"Alpena County, Michigan",40871,77.25555555555556,Rural
"Antrim County, Michigan",50114,80.07142857142857,Rural
"Barry County, Michigan",57238,79.36363636363636,Rural
"Bay County, Michigan",46560,77.02307692307691,Urban
"Berrien County, Michigan",46649,76.83191489361701,Urban
"Branch County, Michigan",47909,77.19166666666666,Rural
"Calhoun County, Michigan",43084,76.26756756756755,Urban
"Cass County, Michigan",49917,77.87272727272727,Rural
"Charlevoix County, Michigan",46979,79.30833333333332,Rural
"Cheboygan County, Michigan",42549,79.1625,Rural
"Chippewa County, Michigan",42869,78.06363636363636,Rural
"Clare County, Michigan",31321,75.19000000000001,Rural
"Clinton County, Michigan",63764,79.89999999999999,Urban
"Delta County, Michigan",41161,79.87272727272726,Rural
"Dickinson County, Michigan",48734,79.9,Rural
"Eaton County, Michigan",56005,78.81111111111112,Urban
"Emmet County, Michigan",49372,80.07142857142857,Rural
"Genesee County, Michigan",44025,75.28571428571426,Urban
"Gladwin County, Michigan",40986,76.39999999999999,Rural
"Grand Traverse County, Michigan",55013,79.9625,Rural
"Gratiot County, Michigan",41316,78.11111111111111,Rural
"Hillsdale County, Michigan",46202,77.63333333333334,Rural
"Houghton County, Michigan",44071,78.75999999999998,Rural
"Huron County, Michigan",46267,77.86,Rural
"Ingham County, Michigan",47082,77.94590163934424,Urban
"Ionia County, Michigan",50823,78.53333333333332,Rural
"Iosco County, Michigan",40687,76.05,Rural
"Isabella County, Michigan",40838,78.43076923076923,Rural
"Jackson County, Michigan",50783,77.11891891891891,Urban
"Kalamazoo County, Michigan",52164,78.92692307692306,Urban
"Kent County, Michigan",54340,79.6682926829268,Urban
"Lapeer County, Michigan",57762,77.9909090909091,Urban
"Leelanau County, Michigan",60837,82.67999999999999,Rural
"Lenawee County, Michigan",48279,77.9478260869565,Rural
"Livingston County, Michigan",76455,79.33859649122806,Urban
"Macomb County, Michigan",54640,77.11960784313725,Urban
"Manistee County, Michigan",42032,77.775,Rural
"Marquette County, Michigan",48259,78.94999999999999,Rural
"Mason County, Michigan",44454,77.9625,Rural
"Mecosta County, Michigan",41502,77.8,Rural
"Menominee County, Michigan",39904,82.17142857142858,Rural
"Midland County, Michigan",59292,79.84210526315788,Urban
"Monroe County, Michigan",54396,77.10263157894737,Urban
"Montcalm County, Michigan",40547,78.68461538461538,Rural
"Muskegon County, Michigan",47453,76.95714285714286,Urban
"Newaygo County, Michigan",45213,78.05454545454546,Rural
"Oakland County, Michigan",69998,78.96327160493823,Urban
"Oceana County, Michigan",43588,79.23333333333333,Rural
"Ogemaw County, Michigan",37282,75.97142857142856,Rural
"Osceola County, Michigan",42012,78.3,Rural
"Otsego County, Michigan",51000,78.46666666666667,Rural
"Ottawa County, Michigan",61012,80.9705882352941,Urban
"Roscommon County, Michigan",40133,76.31249999999999,Rural
"Saginaw County, Michigan",43383,76.40892857142855,Urban
"Sanilac County, Michigan",41444,78.73333333333332,Rural
"Shiawassee County, Michigan",51839,77.36470588235295,Rural
"Tuscola County, Michigan",45767,78.21538461538461,Rural
"Van Buren County, Michigan",48034,78.31333333333333,Rural
"Washtenaw County, Michigan",61977,79.58875000000002,Urban
"Wayne County, Michigan",41557,74.46294964028783,Urban
"Wexford County, Michigan",44054,77.08749999999999,Rural
